Sales ID,Product Category,Product Name,Product Quantity,Product Salescost,Date Of Sales,Total Amount
,,,,,,
101,Speaker,Samsung S-21,2,7000,1/2/2021,89000
,Refrigerator,Haier Single Door HDF-24,1,75000,,
,,,,,,
102,Tv,Samsung QN85A Neo QLED 4K Smart TV,3,92000,1/2/2021,492000
,Refrigerator,Hitachi Double Glass Door FP,2,108000,,
,,,,,,
,,,,,,
103,Speaker,Sony XG300 X-Series ,2,9500,1/3/2021,333000
,Tv,Samsung Q60A QLED 4K Smart TV,2,87000,,
,Refrigerator,Dawlance 547-WB,2,70000,,
,,,,,,
104,Refrigerator,Haier Glass Door HRF-291,2,79000,1/4/2021,158000
,,,,,,
105,Speaker,Jiasound JBL-03,4,8000,1/4/2021,32000
,,,,,,
106,Tv,EcoStar LED HD Frameless TV,1,74000,1/5/2021,442000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,4,92000,,
,,,,,,
107,Speaker,Audionic RTX-2,5,7500,1/5/2021,37500
,,,,,,
108,Refrigerator,Haier Single Door HDF-24,2,75000,1/7/2021,355000
,Tv,Sony Z9J BRAVIA XR,1,97000,,
,Refrigerator,Hitachi Double Glass Door FP,1,108000,,
,,,,,,
109,Speaker,Audionic RTX-2,1,7500,1/9/2021,184500
,Speaker,Jiasound JBL-03,2,8000,,
,Tv,EcoStar LED HD Frameless TV,1,74000,,
,Tv,Samsung Q60A QLED 4K Smart TV,1,87000,,
,,,,,,
1010,Speaker,Sony XG300 X-Series ,12,9500,1/12/2021,114000
,,,,,,
1011,Refrigerator,Dawlance 547-WB,3,70000,1/12/2021,404000
,Tv,Sony Z9J BRAVIA XR,2,97000,,
,,,,,,
1012,Refrigerator,Haier Glass Door HRF-291,3,79000,1/16/2021,237000
,,,,,,
1013,Tv,Samsung QN85A Neo QLED 4K Smart TV,6,92000,1/18/2021,552000
,,,,,,
1014,Speaker,Sony XG300 X-Series ,9,9500,1/21/2021,232500
,Speaker,Samsung S-21,6,7000,,
,Speaker,Audionic RTX-2,14,7500,,
,,,,,,
1015,Speaker,Jiasound JBL-03,6,8000,1/24/2021,232000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,2,92000,,
,,,,,,
1016,Refrigerator,Haier Single Door HDF-24,2,75000,1/26/2021,536500
,Tv,EcoStar LED HD Frameless TV,2,74000,,
,Speaker,Audionic RTX-2,3,7500,,
,Speaker,Sony XG300 X-Series ,4,9500,,
,Refrigerator,Dawlance 547-WB,1,70000,,
,Refrigerator,Hitachi Double Glass Door FP,1,108000,,
,,,,,,
1017,Speaker,Audionic RTX-2,15,7500,1/28/2021,112500
,,,,,,
1018,Speaker,Sony XG300 X-Series ,2,9500,2/1/2021,180000
,Tv,Samsung Q60A QLED 4K Smart TV,1,87000,,
,Tv,EcoStar LED HD Frameless TV,1,74000,,
,,,,,,
1019,Speaker,Samsung S-21,7,7000,2/1/2021,340000
,Tv,Sony Z9J BRAVIA XR,3,97000,,
,,,,,,
1020,Tv,Samsung QN85A Neo QLED 4K Smart TV,3,92000,2/2/2021,276000
,,,,,,
1021,Speaker,Sony XG300 X-Series ,7,9500,2/2/2021,66500
,,,,,,
1022,Refrigerator,Hitachi Double Glass Door FP,2,108000,2/3/2021,216000
,,,,,,
1023,Tv,Sony Z9J BRAVIA XR,7,97000,2/4/2021,1199000
,Tv,Samsung QN85A Neo QLED 4K Smart TV,4,92000,,
,Speaker,Sony XG300 X-Series ,16,9500,,
,,,,,,
1024,Refrigerator,Haier Glass Door HRF-291,3,79000,2/5/2021,517000
,Refrigerator,Dawlance 547-WB,4,70000,,
,,,,,,
1025,Speaker,Jiasound JBL-03,19,8000,2/6/2021,152000
,,,,,,
1026,Tv,EcoStar LED HD Frameless TV,3,74000,2/7/2021,603000
,Refrigerator,Haier Glass Door HRF-291,2,79000,,
,Speaker,Samsung S-21,7,7000,,
,Tv,Samsung Q60A QLED 4K Smart TV,2,87000,,
,,,,,,
1027,Refrigerator,Haier Single Door HDF-24,4,75000,2/7/2021,592500
,Refrigerator,Dawlance 547-WB,3,70000,,
,Speaker,Audionic RTX-2,11,7500,,
,,,,,,
1028,Speaker,Jiasound JBL-03,5,8000,2/9/2021,331000
,Tv,Sony Z9J BRAVIA XR,3,97000,,
,,,,,,
1029,Tv,Samsung Q60A QLED 4K Smart TV,2,87000,2/10/2021,470000
,Tv,EcoStar LED HD Frameless TV,4,74000,,
,,,,,,
1030,Refrigerator,Haier Glass Door HRF-291,7,79000,2/11/2021,553000
,,,,,,
